District,Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
05,2017 Q1,53,54,107,49.53271028
05,2017 Q2,65,88,153,42.48366013
05,2017 Q3,59,58,117,50.42735043
05,2017 Q4,79,42,121,65.2892562
05,2018 Q1,73,73,146,50.0
05,2018 Q2,68,53,121,56.19834711
05,2018 Q3,73,73,146,50.0
05,2018 Q4,63,59,122,51.63934426
05,2019 Q1,54,65,119,45.37815126
05,2019 Q2,98,88,186,52.68817204
05,2019 Q3,70,45,115,60.86956522
05,2019 Q4,62,77,139,44.60431655
05,2020 Q1,47,58,105,44.76190476
05,2020 Q2,36,51,87,41.37931034
05,2020 Q3,42,48,90,46.66666667
05,2020 Q4,41,49,90,45.55555556
05,2021 Q1,53,60,113,46.90265487
05,2021 Q2,70,78,148,47.2972973
05,2021 Q3,49,60,109,44.95412844
05,2021 Q4,66,72,138,47.82608696
05,2022 Q1,70,73,143,48.95104895
05,2022 Q2,57,72,129,44.18604651
05,2022 Q3,48,57,105,45.71428571
05,2022 Q4,62,62,124,50.0
05,2023 Q1,75,61,136,55.14705882
05,2023 Q2,55,52,107,51.40186916
05,2023 Q3,39,48,87,44.82758621
05,2023 Q4,41,42,83,49.39759036
05,2024 Q1,40,46,86,46.51162791
05,2024 Q2,36,43,79,45.56962025
05,2024 Q3,43,38,81,53.08641975
05,2024 Q4,45,45,90,50.0
05,2025 Q1,45,53,98,45.91836735
05,2025 Q2,41,36,77,53.24675325
05,2025 Q3,51,58,109,46.78899083
05,2025 Q4,35,37,72,48.61111111
05,2026 Q1,42,37,79,53.16455696
05,2026 Q2,41,31,72,56.94444444
