Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,68,142,210,32.38095238
2017 Q2,62,134,196,31.63265306
2017 Q3,64,144,208,30.76923077
2017 Q4,94,171,265,35.47169811
2018 Q1,72,150,222,32.43243243
2018 Q2,83,198,281,29.53736655
2018 Q3,60,164,224,26.78571429
2018 Q4,65,189,254,25.59055118
2019 Q1,72,182,254,28.34645669
2019 Q2,77,181,258,29.84496124
2019 Q3,97,146,243,39.91769547
2019 Q4,88,117,205,42.92682927
2020 Q1,94,152,246,38.21138211
2020 Q2,30,62,92,32.60869565
2020 Q3,64,105,169,37.86982249
2020 Q4,74,96,170,43.52941176
2021 Q1,91,120,211,43.12796209
2021 Q2,97,132,229,42.3580786
2021 Q3,95,156,251,37.84860558
2021 Q4,82,136,218,37.6146789
2022 Q1,62,155,217,28.57142857
2022 Q2,74,173,247,29.95951417
2022 Q3,54,163,217,24.88479263
2022 Q4,58,135,193,30.05181347
2023 Q1,48,200,248,19.35483871
2023 Q2,52,181,233,22.31759657
2023 Q3,58,166,224,25.89285714
2023 Q4,71,168,239,29.70711297
2024 Q1,74,180,254,29.13385827
2024 Q2,73,195,268,27.23880597
2024 Q3,74,152,226,32.74336283
2024 Q4,86,140,226,38.05309735
2025 Q1,122,178,300,40.66666667
2025 Q2,122,143,265,46.03773585
2025 Q3,119,147,266,44.73684211
2025 Q4,92,110,202,45.54455446
2026 Q1,80,122,202,39.6039604
2026 Q2,82,84,166,49.39759036
