Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,8,132,140,5.71428571,94.28571429
2017 Q2,18,147,165,10.90909091,89.09090909
2017 Q3,11,148,159,6.91823899,93.08176101
2017 Q4,14,182,196,7.14285714,92.85714286
2018 Q1,18,159,177,10.16949153,89.83050847
2018 Q2,24,176,200,12.0,88.0
2018 Q3,26,187,213,12.20657277,87.79342723
2018 Q4,24,171,195,12.30769231,87.69230769
2019 Q1,18,191,209,8.61244019,91.38755981
2019 Q2,27,165,192,14.0625,85.9375
2019 Q3,24,193,217,11.05990783,88.94009217
2019 Q4,24,163,187,12.8342246,87.1657754
2020 Q1,16,162,178,8.98876404,91.01123596
2020 Q2,41,193,234,17.52136752,82.47863248
2020 Q3,22,180,202,10.89108911,89.10891089
2020 Q4,28,161,189,14.81481481,85.18518519
2021 Q1,27,173,200,13.5,86.5
2021 Q2,34,158,192,17.70833333,82.29166667
2021 Q3,40,185,225,17.77777778,82.22222222
2021 Q4,42,172,214,19.62616822,80.37383178
2022 Q1,26,147,173,15.02890173,84.97109827
2022 Q2,43,164,207,20.77294686,79.22705314
2022 Q3,35,172,207,16.90821256,83.09178744
2022 Q4,38,186,224,16.96428571,83.03571429
2023 Q1,29,174,203,14.28571429,85.71428571
2023 Q2,31,182,213,14.55399061,85.44600939
2023 Q3,31,188,219,14.15525114,85.84474886
2023 Q4,32,173,205,15.6097561,84.3902439
2024 Q1,24,178,202,11.88118812,88.11881188
2024 Q2,33,176,209,15.78947368,84.21052632
2024 Q3,29,183,212,13.67924528,86.32075472
2024 Q4,30,167,197,15.2284264,84.7715736
2025 Q1,36,203,239,15.06276151,84.93723849
2025 Q2,16,177,193,8.29015544,91.70984456
2025 Q3,39,195,234,16.66666667,83.33333333
2025 Q4,47,161,208,22.59615385,77.40384615
2026 Q1,28,178,206,13.59223301,86.40776699
2026 Q2,34,189,223,15.24663677,84.75336323
