Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2011 Q4,0,1,0,1,0.0
2012 Q4,0,1,0,1,0.0
2014 Q3,0,0,1,1,0.0
2015 Q3,0,1,0,1,0.0
2016 Q2,1,0,0,1,100.0
2017 Q1,215,229,9,453,47.46136865
2017 Q2,425,754,49,1228,34.60912052
2017 Q3,675,1118,56,1849,36.50621958
2017 Q4,732,1477,73,2282,32.07712533
2018 Q1,313,517,31,861,36.35307782
2018 Q2,566,1021,52,1639,34.53325198
2018 Q3,732,1270,61,2063,35.48230732
2018 Q4,865,1793,86,2744,31.52332362
2019 Q1,219,631,45,895,24.46927374
2019 Q2,443,1337,129,1909,23.20586695
2019 Q3,671,1855,170,2696,24.88872404
2019 Q4,973,2232,252,3457,28.14579115
2020 Q1,453,1301,217,1971,22.98325723
2020 Q2,387,1261,113,1761,21.97614991
2020 Q3,458,1344,102,1904,24.05462185
2020 Q4,505,1298,71,1874,26.94770544
2021 Q1,489,1327,79,1895,25.80474934
2021 Q2,441,1407,105,1953,22.58064516
2021 Q3,487,1486,106,2079,23.42472342
2021 Q4,504,1348,81,1933,26.07346094
2022 Q1,385,1416,132,1933,19.91722711
2022 Q2,484,1441,190,2115,22.88416076
2022 Q3,503,1493,173,2169,23.19041033
2022 Q4,443,1436,170,2049,21.62030259
2023 Q1,481,1450,182,2113,22.76384288
2023 Q2,481,1540,189,2210,21.76470588
2023 Q3,492,1567,189,2248,21.886121
2023 Q4,443,1697,210,2350,18.85106383
2024 Q1,508,1834,225,2567,19.78963771
2024 Q2,458,1711,243,2412,18.98839138
2024 Q3,465,1933,294,2692,17.27340267
2024 Q4,461,1987,260,2708,17.02363368
2025 Q1,394,1812,233,2439,16.15416154
2025 Q2,404,1746,244,2394,16.87552214
2025 Q3,466,1911,251,2628,17.73211568
2025 Q4,399,1617,251,2267,17.60035289
2026 Q1,353,1592,224,2169,16.27478101
2026 Q2,401,1653,301,2355,17.02760085
