Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,11,81,92,11.95652174,88.04347826
2017 Q2,9,105,114,7.89473684,92.10526316
2017 Q3,13,109,122,10.6557377,89.3442623
2017 Q4,13,94,107,12.14953271,87.85046729
2018 Q1,13,80,93,13.97849462,86.02150538
2018 Q2,18,93,111,16.21621622,83.78378378
2018 Q3,12,95,107,11.21495327,88.78504673
2018 Q4,15,96,111,13.51351351,86.48648649
2019 Q1,14,80,94,14.89361702,85.10638298
2019 Q2,12,82,94,12.76595745,87.23404255
2019 Q3,20,84,104,19.23076923,80.76923077
2019 Q4,9,96,105,8.57142857,91.42857143
2020 Q1,22,110,132,16.66666667,83.33333333
2020 Q2,19,99,118,16.10169492,83.89830508
2020 Q3,28,90,118,23.72881356,76.27118644
2020 Q4,25,91,116,21.55172414,78.44827586
2021 Q1,19,94,113,16.81415929,83.18584071
2021 Q2,21,94,115,18.26086957,81.73913043
2021 Q3,14,94,108,12.96296296,87.03703704
2021 Q4,14,86,100,14.0,86.0
2022 Q1,16,74,90,17.77777778,82.22222222
2022 Q2,22,77,99,22.22222222,77.77777778
2022 Q3,27,92,119,22.68907563,77.31092437
2022 Q4,18,107,125,14.4,85.6
2023 Q1,16,101,117,13.67521368,86.32478632
2023 Q2,17,135,152,11.18421053,88.81578947
2023 Q3,26,102,128,20.3125,79.6875
2023 Q4,16,107,123,13.00813008,86.99186992
2024 Q1,22,81,103,21.3592233,78.6407767
2024 Q2,19,104,123,15.44715447,84.55284553
2024 Q3,23,126,149,15.43624161,84.56375839
2024 Q4,19,90,109,17.43119266,82.56880734
2025 Q1,26,105,131,19.84732824,80.15267176
2025 Q2,29,109,138,21.01449275,78.98550725
2025 Q3,25,102,127,19.68503937,80.31496063
2025 Q4,25,103,128,19.53125,80.46875
2026 Q1,26,109,135,19.25925926,80.74074074
2026 Q2,19,111,130,14.61538462,85.38461538
