District,Disposition Quarter,Conviction,No Conviction,Total
05,2017 Q1,5,4,9
05,2017 Q2,10,4,14
05,2017 Q3,8,0,8
05,2017 Q4,7,0,7
05,2018 Q1,4,2,6
05,2018 Q2,3,1,4
05,2018 Q3,2,0,2
05,2018 Q4,2,1,3
05,2019 Q1,6,2,8
05,2019 Q2,5,5,10
05,2019 Q3,1,4,5
05,2019 Q4,8,3,11
05,2020 Q1,5,2,7
05,2020 Q2,3,0,3
05,2020 Q3,3,2,5
05,2020 Q4,3,0,3
05,2021 Q1,4,4,8
05,2021 Q2,7,1,8
05,2021 Q3,5,2,7
05,2021 Q4,1,0,1
05,2022 Q1,2,2,4
05,2022 Q2,8,1,9
05,2022 Q3,9,4,13
05,2022 Q4,3,1,4
05,2023 Q1,3,6,9
05,2023 Q2,4,2,6
05,2023 Q3,7,1,8
05,2023 Q4,5,3,8
05,2024 Q1,5,4,9
05,2024 Q2,2,2,4
05,2024 Q4,1,1,2
05,2025 Q1,0,3,3
05,2025 Q2,0,1,1
05,2025 Q3,5,4,9
05,2025 Q4,1,1,2
