Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,333,536,869,38.31990794
2017 Q2,389,581,970,40.10309278
2017 Q3,409,495,904,45.24336283
2017 Q4,387,566,953,40.60860441
2018 Q1,382,592,974,39.21971253
2018 Q2,452,601,1053,42.92497626
2018 Q3,440,572,1012,43.47826087
2018 Q4,484,608,1092,44.32234432
2019 Q1,539,642,1181,45.63928874
2019 Q2,481,589,1070,44.95327103
2019 Q3,473,532,1005,47.06467662
2019 Q4,458,462,920,49.7826087
2020 Q1,454,451,905,50.16574586
2020 Q2,215,231,446,48.20627803
2020 Q3,318,337,655,48.54961832
2020 Q4,292,315,607,48.10543657
2021 Q1,313,393,706,44.33427762
2021 Q2,305,418,723,42.18533887
2021 Q3,373,387,760,49.07894737
2021 Q4,278,400,678,41.00294985
2022 Q1,288,389,677,42.54062038
2022 Q2,284,433,717,39.60948396
2022 Q3,295,396,691,42.69175109
2022 Q4,267,380,647,41.26738794
2023 Q1,292,390,682,42.81524927
2023 Q2,300,365,665,45.11278195
2023 Q3,276,320,596,46.30872483
2023 Q4,272,285,557,48.83303411
2024 Q1,259,315,574,45.12195122
2024 Q2,260,302,562,46.2633452
2024 Q3,261,324,585,44.61538462
2024 Q4,279,291,570,48.94736842
2025 Q1,307,335,642,47.81931464
2025 Q2,234,264,498,46.98795181
2025 Q3,263,264,527,49.90512334
2025 Q4,228,248,476,47.89915966
2026 Q1,235,305,540,43.51851852
2026 Q2,234,288,522,44.82758621
