District,Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
01,2018 Q3,1457,4090,146,5693,25.5928333
01,2019 Q2,1214,4616,154,5984,20.28743316
01,2020 Q4,888,3363,106,4357,20.3809961
01,2026 Q1,700,3325,370,4395,15.92718999
01,2028 Q3,0,1,0,1,0.0
01,2025 Q3,799,3946,432,5177,15.43364883
01,2021 Q3,882,4390,213,5485,16.08021878
01,2023 Q1,815,3390,311,4516,18.0469442
01,2017 Q3,1258,2947,81,4286,29.35137657
01,2025 Q4,690,3362,372,4424,15.59674503
01,2021 Q2,885,4679,253,5817,15.21402785
01,2019 Q1,1311,3976,130,5417,24.20158759
01,2022 Q2,824,3149,261,4234,19.46150213
01,2018 Q1,1342,5498,172,7012,19.13861951
01,2019 Q4,1192,3698,129,5019,23.74975095
01,2021 Q1,830,3444,237,4511,18.39946797
01,2019 Q3,1195,4222,167,5584,21.4004298
01,2024 Q1,861,4123,344,5328,16.15990991
01,2018 Q2,1377,4193,120,5690,24.20035149
01,2020 Q1,1275,4279,152,5706,22.34490011
01,2023 Q4,855,3479,330,4664,18.33190395
01,2018 Q4,1227,4235,148,5610,21.87165775
01,2020 Q3,899,3151,111,4161,21.60538332
01,2032 Q1,0,2,0,2,0.0
01,2017 Q4,1086,4678,231,5995,18.11509591
01,2024 Q3,826,4403,372,5601,14.74736654
01,2024 Q2,751,3897,358,5006,15.0019976
01,2026 Q3,28,275,41,344,8.13953488
01,2017 Q1,1217,2836,86,4139,29.4032375
01,2032 Q2,0,0,1,1,0.0
01,2022 Q3,842,3391,392,4625,18.20540541
01,2025 Q1,687,3675,331,4693,14.63882378
01,2023 Q2,792,3394,300,4486,17.65492644
01,2029 Q4,0,2,0,2,0.0
01,2027 Q1,0,1,0,1,0.0
01,2017 Q2,1154,2990,80,4224,27.32007576
01,2020 Q2,1132,2892,117,4141,27.33639218
01,2023 Q3,825,3567,309,4701,17.54945756
01,2027 Q2,0,1,0,1,0.0
01,2022 Q1,1061,3701,258,5020,21.13545817
01,2024 Q4,690,3771,380,4841,14.25325346
01,2026 Q2,700,3566,340,4606,15.19756839
01,2025 Q2,899,3664,293,4856,18.51317957
01,2021 Q4,867,3685,275,4827,17.96146675
01,2022 Q4,838,3517,330,4685,17.886873
