Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2017 Q1,187.1833,162.0
2017 Q2,166.7961,115.0
2017 Q3,360.2484,254.0
2017 Q4,339.5987,263.5
2018 Q1,246.1034,185.0
2018 Q2,363.6054,266.0
2018 Q3,399.6386,331.0
2018 Q4,361.1967,257.0
2019 Q1,259.2286,217.5
2019 Q2,361.1932,291.0
2019 Q3,320.1382,249.0
2019 Q4,296.5575,250.0
2020 Q1,280.3926,208.0
2020 Q2,329.0791,247.0
2020 Q3,279.2586,243.5
2020 Q4,246.6222,201.0
2021 Q1,249.8504,202.0
2021 Q2,239.3353,174.0
2021 Q3,244.2553,148.0
2021 Q4,297.5854,210.0
2022 Q1,247.9676,195.0
2022 Q2,244.618,182.5
2022 Q3,233.4375,204.0
2022 Q4,238.075,179.0
2023 Q1,248.0,210.0
2023 Q2,241.0704,219.0
2023 Q3,258.6931,224.0
2023 Q4,274.2895,251.5
2024 Q1,196.4217,170.0
2024 Q2,222.1443,193.0
2024 Q3,248.8909,219.5
2024 Q4,197.596,158.0
2025 Q1,255.0292,201.0
2025 Q2,279.4052,265.5
2025 Q3,228.7805,192.5
2025 Q4,254.991,190.0
2026 Q1,236.6667,180.0
2026 Q2,247.6296,205.5
