Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
2017 Q1,72,48,120,60.0,40.0
2017 Q2,50,53,103,48.54368932,51.45631068
2017 Q3,114,43,157,72.61146497,27.38853503
2017 Q4,116,36,152,76.31578947,23.68421053
2018 Q1,78,38,116,67.24137931,32.75862069
2018 Q2,147,38,185,79.45945946,20.54054054
2018 Q3,69,14,83,83.13253012,16.86746988
2018 Q4,47,14,61,77.04918033,22.95081967
2019 Q1,55,15,70,78.57142857,21.42857143
2019 Q2,156,51,207,75.36231884,24.63768116
2019 Q3,102,21,123,82.92682927,17.07317073
2019 Q4,79,34,113,69.91150442,30.08849558
2020 Q1,120,43,163,73.6196319,26.3803681
2020 Q2,103,36,139,74.10071942,25.89928058
2020 Q3,90,26,116,77.5862069,22.4137931
2020 Q4,61,29,90,67.77777778,32.22222222
2021 Q1,93,34,127,73.22834646,26.77165354
2021 Q2,107,63,170,62.94117647,37.05882353
2021 Q3,82,59,141,58.15602837,41.84397163
2021 Q4,146,59,205,71.2195122,28.7804878
2022 Q1,128,57,185,69.18918919,30.81081081
2022 Q2,119,59,178,66.85393258,33.14606742
2022 Q3,120,55,175,68.57142857,31.42857143
2022 Q4,78,42,120,65.0,35.0
2023 Q1,53,34,87,60.91954023,39.08045977
2023 Q2,55,18,73,75.34246575,24.65753425
2023 Q3,75,26,101,74.25742574,25.74257426
2023 Q4,92,22,114,80.70175439,19.29824561
2024 Q1,52,31,83,62.65060241,37.34939759
2024 Q2,71,26,97,73.19587629,26.80412371
2024 Q3,87,24,111,78.37837838,21.62162162
2024 Q4,61,38,99,61.61616162,38.38383838
2025 Q1,99,38,137,72.26277372,27.73722628
2025 Q2,87,29,116,75.0,25.0
2025 Q3,54,29,83,65.06024096,34.93975904
2025 Q4,83,28,111,74.77477477,25.22522523
2026 Q1,74,32,106,69.81132075,30.18867925
2026 Q2,80,32,112,71.42857143,28.57142857
