District,Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
18,2017 Q1,1172,475,1647,28.84031573
18,2017 Q2,1198,489,1687,28.98636633
18,2017 Q3,1021,414,1435,28.85017422
18,2017 Q4,875,395,1270,31.1023622
18,2018 Q1,966,496,1462,33.92612859
18,2018 Q2,964,398,1362,29.22173275
18,2018 Q3,913,419,1332,31.45645646
18,2018 Q4,839,418,1257,33.25377884
18,2019 Q1,956,396,1352,29.28994083
18,2019 Q2,1087,512,1599,32.02001251
18,2019 Q3,985,421,1406,29.943101
18,2019 Q4,986,531,1517,35.00329598
18,2020 Q1,875,470,1345,34.94423792
18,2020 Q2,431,178,609,29.22824302
18,2020 Q3,735,236,971,24.30484037
18,2020 Q4,681,284,965,29.43005181
18,2021 Q1,702,254,956,26.56903766
18,2021 Q2,780,341,1121,30.41926851
18,2021 Q3,728,386,1114,34.64991023
18,2021 Q4,627,403,1030,39.12621359
18,2022 Q1,691,365,1056,34.56439394
18,2022 Q2,766,437,1203,36.32585204
18,2022 Q3,796,467,1263,36.97545527
18,2022 Q4,752,425,1177,36.10875106
18,2023 Q1,804,478,1282,37.28549142
18,2023 Q2,730,465,1195,38.91213389
18,2023 Q3,691,435,1126,38.63232682
18,2023 Q4,652,387,1039,37.24735322
18,2024 Q1,690,441,1131,38.99204244
18,2024 Q2,758,429,1187,36.14153328
18,2024 Q3,732,465,1197,38.84711779
18,2024 Q4,646,443,1089,40.6795225
18,2025 Q1,678,507,1185,42.78481013
18,2025 Q2,766,506,1272,39.77987421
18,2025 Q3,761,479,1240,38.62903226
18,2025 Q4,724,473,1197,39.5154553
