Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,19.7273,21.3214
2017 Q2,18.1622,21.7931
2017 Q3,18.1429,21.25
2017 Q4,20.0278,20.069
2018 Q1,22.6,19.5313
2018 Q2,20.6286,20.3793
2018 Q3,21.8611,21.069
2018 Q4,19.5526,24.4667
2019 Q1,20.4865,19.2333
2019 Q2,18.6111,25.6333
2019 Q3,21.5854,19.6923
2019 Q4,21.6389,21.7059
2020 Q1,19.3143,21.2647
2020 Q2,15.3636,14.3043
2020 Q3,13.9355,17.1875
2020 Q4,17.75,14.1818
2021 Q1,17.7188,18.1765
2021 Q2,17.0882,16.8387
2021 Q3,18.9375,15.7692
2021 Q4,17.1818,17.4
2022 Q1,16.75,18.6429
2022 Q2,15.6552,20.2
2022 Q3,17.5,17.72
2022 Q4,16.303,17.84
2023 Q1,17.625,17.1563
2023 Q2,18.5,18.3929
2023 Q3,18.1538,18.0769
2023 Q4,19.8519,20.8333
2024 Q1,20.8261,18.3704
2024 Q2,22.6667,20.0741
2024 Q3,26.8261,24.0
2024 Q4,22.2609,22.2083
2025 Q1,22.1429,22.4762
2025 Q2,21.7826,23.5652
2025 Q3,24.95,23.2381
2025 Q4,24.6,20.1739
2026 Q1,26.65,27.55
2026 Q2,27.381,24.0
