District,Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
19,2017 Q1,219,271,490,44.69387755
19,2017 Q2,213,329,542,39.29889299
19,2017 Q3,224,273,497,45.07042254
19,2017 Q4,192,300,492,39.02439024
19,2018 Q1,186,300,486,38.27160494
19,2018 Q2,182,278,460,39.56521739
19,2018 Q3,175,275,450,38.88888889
19,2018 Q4,196,337,533,36.77298311
19,2019 Q1,187,241,428,43.69158879
19,2019 Q2,289,320,609,47.45484401
19,2019 Q3,264,316,580,45.51724138
19,2019 Q4,241,312,553,43.58047016
19,2020 Q1,208,321,529,39.3194707
19,2020 Q2,106,167,273,38.82783883
19,2020 Q3,190,226,416,45.67307692
19,2020 Q4,133,199,332,40.06024096
19,2021 Q1,197,238,435,45.28735632
19,2021 Q2,147,276,423,34.75177305
19,2021 Q3,119,207,326,36.50306748
19,2021 Q4,151,229,380,39.73684211
19,2022 Q1,167,232,399,41.85463659
19,2022 Q2,146,295,441,33.10657596
19,2022 Q3,105,200,305,34.42622951
19,2022 Q4,126,210,336,37.5
19,2023 Q1,164,233,397,41.30982368
19,2023 Q2,145,221,366,39.61748634
19,2023 Q3,114,220,334,34.13173653
19,2023 Q4,133,206,339,39.23303835
19,2024 Q1,113,238,351,32.19373219
19,2024 Q2,148,231,379,39.05013193
19,2024 Q3,132,261,393,33.58778626
19,2024 Q4,134,215,349,38.39541547
19,2025 Q1,102,213,315,32.38095238
19,2025 Q2,139,242,381,36.48293963
19,2025 Q3,128,203,331,38.67069486
19,2025 Q4,104,194,298,34.89932886
19,2026 Q1,134,245,379,35.35620053
19,2026 Q2,137,173,310,44.19354839
