District,Disposition Quarter,Deferred,Probation,Community Corrections,Prison
23,2017 Q1,78,62,21,27
23,2017 Q2,87,60,12,37
23,2017 Q3,87,57,11,47
23,2017 Q4,75,79,9,44
23,2018 Q1,78,62,13,44
23,2018 Q2,94,76,15,55
23,2018 Q3,111,92,9,35
23,2018 Q4,95,85,16,60
23,2019 Q1,91,78,17,58
23,2019 Q2,81,88,12,43
23,2019 Q3,85,69,18,38
23,2019 Q4,65,35,13,40
23,2020 Q1,76,63,18,40
23,2020 Q2,41,29,7,10
23,2020 Q3,80,32,11,45
23,2020 Q4,63,41,13,22
23,2021 Q1,74,52,17,37
23,2021 Q2,71,58,13,47
23,2021 Q3,88,53,17,68
23,2021 Q4,65,56,23,48
23,2022 Q1,60,48,24,61
23,2022 Q2,63,39,31,85
23,2022 Q3,54,44,20,76
23,2022 Q4,62,36,20,67
23,2023 Q1,53,64,24,92
23,2023 Q2,56,52,30,74
23,2023 Q3,50,50,28,62
23,2023 Q4,40,57,18,75
23,2024 Q1,60,65,16,69
23,2024 Q2,55,63,27,82
23,2024 Q3,69,47,20,61
23,2024 Q4,57,51,8,63
23,2025 Q1,59,63,16,70
23,2025 Q2,56,44,11,56
23,2025 Q3,61,45,13,72
23,2025 Q4,42,31,8,51
23,2026 Q1,50,35,5,52
23,2026 Q2,44,29,1,34
