Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,81,38,119,31.93277311
2017 Q2,62,34,96,35.41666667
2017 Q3,133,51,184,27.7173913
2017 Q4,134,34,168,20.23809524
2018 Q1,110,28,138,20.28985507
2018 Q2,164,21,185,11.35135135
2018 Q3,159,17,176,9.65909091
2018 Q4,71,9,80,11.25
2019 Q1,51,10,61,16.39344262
2019 Q2,196,21,217,9.67741935
2019 Q3,86,21,107,19.62616822
2019 Q4,88,24,112,21.42857143
2020 Q1,126,57,183,31.14754098
2020 Q2,114,42,156,26.92307692
2020 Q3,96,33,129,25.58139535
2020 Q4,69,30,99,30.3030303
2021 Q1,58,28,86,32.55813953
2021 Q2,87,45,132,34.09090909
2021 Q3,74,58,132,43.93939394
2021 Q4,99,70,169,41.42011834
2022 Q1,105,77,182,42.30769231
2022 Q2,83,63,146,43.15068493
2022 Q3,86,58,144,40.27777778
2022 Q4,83,62,145,42.75862069
2023 Q1,71,47,118,39.83050847
2023 Q2,66,46,112,41.07142857
2023 Q3,86,49,135,36.2962963
2023 Q4,72,75,147,51.02040816
2024 Q1,55,45,100,45.0
2024 Q2,69,61,130,46.92307692
2024 Q3,64,58,122,47.54098361
2024 Q4,74,51,125,40.8
2025 Q1,140,73,213,34.27230047
2025 Q2,120,71,191,37.17277487
2025 Q3,138,87,225,38.66666667
2025 Q4,100,78,178,43.82022472
