Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,373,85,458,18.55895197
2017 Q2,362,112,474,23.62869198
2017 Q3,380,95,475,20.0
2017 Q4,377,90,467,19.27194861
2018 Q1,354,115,469,24.52025586
2018 Q2,345,84,429,19.58041958
2018 Q3,369,104,473,21.98731501
2018 Q4,427,90,517,17.40812379
2019 Q1,334,109,443,24.60496614
2019 Q2,411,119,530,22.45283019
2019 Q3,323,109,432,25.23148148
2019 Q4,290,108,398,27.13567839
2020 Q1,272,85,357,23.80952381
2020 Q2,233,46,279,16.4874552
2020 Q3,286,48,334,14.37125749
2020 Q4,275,53,328,16.15853659
2021 Q1,261,77,338,22.78106509
2021 Q2,311,100,411,24.33090024
2021 Q3,336,96,432,22.22222222
2021 Q4,309,102,411,24.81751825
2022 Q1,345,105,450,23.33333333
2022 Q2,359,107,466,22.96137339
2022 Q3,305,89,394,22.58883249
2022 Q4,318,116,434,26.7281106
2023 Q1,340,125,465,26.88172043
2023 Q2,324,85,409,20.78239609
2023 Q3,323,70,393,17.81170483
2023 Q4,263,74,337,21.95845697
2024 Q1,300,62,362,17.12707182
2024 Q2,260,69,329,20.97264438
2024 Q3,281,60,341,17.59530792
2024 Q4,271,93,364,25.54945055
2025 Q1,308,75,383,19.58224543
2025 Q2,262,63,325,19.38461538
2025 Q3,294,99,393,25.19083969
2025 Q4,302,65,367,17.71117166
