Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2017 Q1,226.8802,162.0
2017 Q2,224.8359,160.0
2017 Q3,222.8592,152.0
2017 Q4,226.621,153.0
2018 Q1,230.7352,161.0
2018 Q2,222.2076,155.0
2018 Q3,219.0183,140.0
2018 Q4,222.7,148.0
2019 Q1,230.0733,165.0
2019 Q2,224.411,160.0
2019 Q3,220.6926,150.0
2019 Q4,234.6163,161.0
2020 Q1,238.1866,179.0
2020 Q2,290.4941,218.0
2020 Q3,313.317,251.0
2020 Q4,290.4183,247.0
2021 Q1,295.0968,232.0
2021 Q2,334.5439,260.0
2021 Q3,305.5031,238.0
2021 Q4,291.1733,231.0
2022 Q1,304.8835,245.0
2022 Q2,297.9631,229.0
2022 Q3,290.4765,221.0
2022 Q4,266.7569,205.0
2023 Q1,270.5104,203.0
2023 Q2,260.9734,199.0
2023 Q3,247.896,182.5
2023 Q4,256.6225,185.5
2024 Q1,262.3079,206.0
2024 Q2,245.9304,195.0
2024 Q3,243.8969,187.0
2024 Q4,236.9592,182.0
2025 Q1,256.6324,199.0
2025 Q2,242.5153,192.0
2025 Q3,245.7913,188.5
2025 Q4,239.5028,178.0
2026 Q1,247.5386,196.5
2026 Q2,257.2033,200.0
