District,Disposition Quarter,Deferred,Probation,Community Corrections,Prison
08,2017 Q1,106,125,78,77
08,2017 Q2,117,136,94,95
08,2017 Q3,80,151,84,97
08,2017 Q4,92,147,97,99
08,2018 Q1,96,166,50,104
08,2018 Q2,114,183,114,96
08,2018 Q3,99,172,85,105
08,2018 Q4,85,173,64,115
08,2019 Q1,94,184,78,103
08,2019 Q2,97,170,83,106
08,2019 Q3,102,191,64,78
08,2019 Q4,107,179,66,101
08,2020 Q1,98,156,71,87
08,2020 Q2,56,107,33,61
08,2020 Q3,89,146,57,66
08,2020 Q4,84,118,54,74
08,2021 Q1,87,105,48,43
08,2021 Q2,89,106,61,70
08,2021 Q3,64,115,54,94
08,2021 Q4,86,91,41,63
08,2022 Q1,80,84,69,74
08,2022 Q2,71,87,41,89
08,2022 Q3,82,62,44,75
08,2022 Q4,87,92,43,65
08,2023 Q1,93,82,48,72
08,2023 Q2,78,92,53,82
08,2023 Q3,74,93,42,81
08,2023 Q4,80,72,37,54
08,2024 Q1,76,76,47,54
08,2024 Q2,101,78,35,54
08,2024 Q3,91,75,41,65
08,2024 Q4,89,88,42,60
08,2025 Q1,80,87,50,55
08,2025 Q2,86,98,60,66
08,2025 Q3,80,101,59,53
08,2025 Q4,87,109,37,40
08,2026 Q1,82,105,46,54
08,2026 Q2,76,90,19,28
