District,Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
23,2017 Q1,19.5,19.9286
23,2017 Q2,15.5238,20.1538
23,2017 Q3,21.9333,20.2143
23,2017 Q4,15.8261,21.3333
23,2018 Q1,14.25,21.9231
23,2018 Q2,16.7391,17.5263
23,2018 Q3,13.2727,15.0455
23,2018 Q4,19.3158,16.7
23,2019 Q1,15.0476,17.8333
23,2019 Q2,14.9048,15.85
23,2019 Q3,17.1739,15.1429
23,2019 Q4,15.2174,14.0
23,2020 Q1,15.6522,13.9091
23,2020 Q2,13.0,11.5714
23,2020 Q3,15.0,13.0
23,2020 Q4,15.8421,12.1176
23,2021 Q1,16.4,14.0
23,2021 Q2,16.2,15.7143
23,2021 Q3,17.1667,17.4
23,2021 Q4,17.5,20.7857
23,2022 Q1,20.8,16.7647
23,2022 Q2,22.9333,21.9286
23,2022 Q3,14.8125,19.2143
23,2022 Q4,19.9333,18.6154
23,2023 Q1,20.1667,21.0714
23,2023 Q2,22.8889,19.2
23,2023 Q3,19.7059,18.2667
23,2023 Q4,20.4211,19.875
23,2024 Q1,18.55,20.2353
23,2024 Q2,16.0909,22.8571
23,2024 Q3,16.0952,18.7647
23,2024 Q4,17.4,17.5882
23,2025 Q1,17.6667,21.1111
23,2025 Q2,17.9444,18.4211
23,2025 Q3,15.9474,20.1875
23,2025 Q4,18.75,16.1111
23,2026 Q1,18.1111,14.1667
23,2026 Q2,14.8889,14.2143
