Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,174,237,411,42.33576642
2017 Q2,198,252,450,44.0
2017 Q3,151,256,407,37.1007371
2017 Q4,141,215,356,39.60674157
2018 Q1,204,236,440,46.36363636
2018 Q2,191,286,477,40.04192872
2018 Q3,210,280,490,42.85714286
2018 Q4,174,253,427,40.74941452
2019 Q1,191,222,413,46.24697337
2019 Q2,245,265,510,48.03921569
2019 Q3,214,215,429,49.88344988
2019 Q4,219,241,460,47.60869565
2020 Q1,249,213,462,53.8961039
2020 Q2,85,138,223,38.11659193
2020 Q3,134,134,268,50.0
2020 Q4,148,150,298,49.66442953
2021 Q1,152,183,335,45.37313433
2021 Q2,116,192,308,37.66233766
2021 Q3,139,204,343,40.52478134
2021 Q4,125,188,313,39.93610224
2022 Q1,151,226,377,40.0530504
2022 Q2,151,206,357,42.29691877
2022 Q3,169,209,378,44.70899471
2022 Q4,151,167,318,47.48427673
2023 Q1,132,174,306,43.1372549
2023 Q2,129,181,310,41.61290323
2023 Q3,117,190,307,38.11074919
2023 Q4,111,192,303,36.63366337
2024 Q1,107,162,269,39.77695167
2024 Q2,109,182,291,37.45704467
2024 Q3,99,135,234,42.30769231
2024 Q4,79,144,223,35.42600897
2025 Q1,77,171,248,31.0483871
2025 Q2,99,164,263,37.64258555
2025 Q3,85,139,224,37.94642857
2025 Q4,84,137,221,38.00904977
2026 Q1,73,151,224,32.58928571
2026 Q2,79,148,227,34.80176211
