Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,17.9091,19.75
2017 Q2,20.5,23.1111
2017 Q3,21.4,16.8889
2017 Q4,21.5556,17.6
2018 Q1,23.1111,25.125
2018 Q2,21.6667,18.7
2018 Q3,26.875,21.0
2018 Q4,27.4286,24.0
2019 Q1,17.9,18.1111
2019 Q2,19.7778,26.3333
2019 Q3,24.375,19.125
2019 Q4,23.125,22.7143
2020 Q1,23.5714,23.5
2020 Q2,18.625,26.8
2020 Q3,21.5,17.0
2020 Q4,16.5556,24.0
2021 Q1,18.1,24.2857
2021 Q2,19.1,31.1667
2021 Q3,20.8,20.8571
2021 Q4,20.8889,20.75
2022 Q1,17.8889,20.8889
2022 Q2,14.0,20.125
2022 Q3,16.5,22.2857
2022 Q4,12.1818,18.4444
2023 Q1,16.0,23.6667
2023 Q2,13.3636,24.0
2023 Q3,12.3333,14.875
2023 Q4,14.8,15.5
2024 Q1,12.5833,14.5
2024 Q2,11.7,13.8
2024 Q3,16.0,13.4444
2024 Q4,19.625,14.4444
2025 Q1,15.4444,12.9091
2025 Q2,19.625,14.625
2025 Q3,19.7778,21.5
2025 Q4,17.8571,17.0
2026 Q1,17.6667,22.6667
2026 Q2,19.0,19.7143
