Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,13,181,194,6.70103093,93.29896907
2017 Q2,13,169,182,7.14285714,92.85714286
2017 Q3,13,190,203,6.40394089,93.59605911
2017 Q4,15,186,201,7.46268657,92.53731343
2018 Q1,19,181,200,9.5,90.5
2018 Q2,23,186,209,11.00478469,88.99521531
2018 Q3,20,197,217,9.21658986,90.78341014
2018 Q4,17,173,190,8.94736842,91.05263158
2019 Q1,23,159,182,12.63736264,87.36263736
2019 Q2,21,155,176,11.93181818,88.06818182
2019 Q3,25,208,233,10.72961373,89.27038627
2019 Q4,22,172,194,11.34020619,88.65979381
2020 Q1,35,178,213,16.43192488,83.56807512
2020 Q2,34,178,212,16.03773585,83.96226415
2020 Q3,36,192,228,15.78947368,84.21052632
2020 Q4,28,147,175,16.0,84.0
2021 Q1,49,175,224,21.875,78.125
2021 Q2,30,183,213,14.08450704,85.91549296
2021 Q3,36,183,219,16.43835616,83.56164384
2021 Q4,26,157,183,14.20765027,85.79234973
2022 Q1,26,161,187,13.90374332,86.09625668
2022 Q2,35,146,181,19.33701657,80.66298343
2022 Q3,25,184,209,11.96172249,88.03827751
2022 Q4,26,168,194,13.40206186,86.59793814
2023 Q1,31,201,232,13.36206897,86.63793103
2023 Q2,33,171,204,16.17647059,83.82352941
2023 Q3,37,210,247,14.97975709,85.02024291
2023 Q4,49,164,213,23.00469484,76.99530516
2024 Q1,41,196,237,17.29957806,82.70042194
2024 Q2,40,198,238,16.80672269,83.19327731
2024 Q3,38,185,223,17.04035874,82.95964126
2024 Q4,41,195,236,17.37288136,82.62711864
2025 Q1,24,189,213,11.26760563,88.73239437
2025 Q2,30,163,193,15.54404145,84.45595855
2025 Q3,37,179,216,17.12962963,82.87037037
2025 Q4,34,149,183,18.57923497,81.42076503
2026 Q1,33,164,197,16.75126904,83.24873096
2026 Q2,43,128,171,25.14619883,74.85380117
