Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
2017 Q1,178,132,166,476
2017 Q2,167,134,159,460
2017 Q3,169,150,118,437
2017 Q4,174,142,154,470
2018 Q1,179,151,142,472
2018 Q2,226,151,146,523
2018 Q3,232,120,135,487
2018 Q4,200,137,125,462
2019 Q1,233,141,120,494
2019 Q2,226,142,120,488
2019 Q3,193,131,104,428
2019 Q4,223,127,119,469
2020 Q1,187,124,88,399
2020 Q2,89,53,60,202
2020 Q3,156,63,86,305
2020 Q4,174,67,72,313
2021 Q1,189,80,79,348
2021 Q2,176,88,80,344
2021 Q3,205,75,80,360
2021 Q4,227,90,74,391
2022 Q1,226,76,78,380
2022 Q2,285,105,68,458
2022 Q3,235,87,74,396
2022 Q4,244,112,73,429
2023 Q1,290,91,98,479
2023 Q2,281,123,95,499
2023 Q3,242,97,106,445
2023 Q4,231,100,72,403
2024 Q1,230,102,101,433
2024 Q2,235,127,96,458
2024 Q3,239,107,113,459
2024 Q4,226,71,98,395
2025 Q1,240,93,77,410
2025 Q2,203,109,85,397
2025 Q3,233,87,88,408
2025 Q4,168,92,67,327
2026 Q1,192,73,87,352
2026 Q2,193,112,94,399
