Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,19.3036,21.4906
2017 Q2,18.3607,21.22
2017 Q3,20.6167,19.434
2017 Q4,20.4516,20.2857
2018 Q1,17.6667,18.6842
2018 Q2,17.8194,21.9821
2018 Q3,18.2329,20.3019
2018 Q4,16.9412,19.5862
2019 Q1,16.8592,18.5873
2019 Q2,18.338,17.7313
2019 Q3,17.2329,18.2881
2019 Q4,17.3671,18.0635
2020 Q1,14.1047,16.8548
2020 Q2,13.3714,11.0263
2020 Q3,13.4737,13.8148
2020 Q4,13.1944,13.2632
2021 Q1,12.8507,12.0299
2021 Q2,14.2254,13.875
2021 Q3,15.6716,15.2381
2021 Q4,16.1967,14.3286
2022 Q1,13.7353,15.5938
2022 Q2,14.1905,15.8429
2022 Q3,15.8871,14.9077
2022 Q4,16.0833,15.9821
2023 Q1,16.4697,16.5606
2023 Q2,15.4063,16.1
2023 Q3,17.4138,16.6207
2023 Q4,17.3509,16.6111
2024 Q1,17.6545,16.6935
2024 Q2,18.5439,16.9365
2024 Q3,18.4444,18.283
2024 Q4,18.7547,18.1176
2025 Q1,18.2449,20.0204
2025 Q2,17.9792,19.6346
2025 Q3,18.766,21.9024
2025 Q4,17.9756,19.075
2026 Q1,18.3571,21.275
2026 Q2,17.2444,21.1538
