District,Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
17,2017 Q1,19.1053,21.5283
17,2017 Q2,18.8983,20.8824
17,2017 Q3,20.4098,19.4528
17,2017 Q4,20.6129,20.4107
17,2018 Q1,17.7879,18.7719
17,2018 Q2,17.9306,22.0
17,2018 Q3,18.411,20.7115
17,2018 Q4,17.0441,19.7414
17,2019 Q1,17.1143,18.7302
17,2019 Q2,18.3194,17.8955
17,2019 Q3,17.625,18.6379
17,2019 Q4,17.8701,18.1746
17,2020 Q1,14.2209,16.9194
17,2020 Q2,13.3239,10.9487
17,2020 Q3,13.5065,13.9259
17,2020 Q4,13.3521,13.4561
17,2021 Q1,12.8657,12.1791
17,2021 Q2,14.2113,13.8906
17,2021 Q3,15.3,14.7727
17,2021 Q4,15.75,14.5735
17,2022 Q1,13.6232,15.4923
17,2022 Q2,14.0,16.0
17,2022 Q3,15.6875,14.697
17,2022 Q4,15.7097,15.7069
17,2023 Q1,16.2353,16.5
17,2023 Q2,15.3846,16.1
17,2023 Q3,17.3898,17.0536
17,2023 Q4,17.2542,16.4364
17,2024 Q1,17.8,17.082
17,2024 Q2,19.0536,17.129
17,2024 Q3,19.0,17.625
17,2024 Q4,19.4706,18.0962
17,2025 Q1,18.875,19.82
17,2025 Q2,19.4773,19.8269
17,2025 Q3,19.4565,21.3721
17,2025 Q4,19.4474,19.35
17,2026 Q1,19.0732,22.6316
17,2026 Q2,17.7045,22.7838
