Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,23.8235,22.1034
2017 Q2,20.4571,24.6552
2017 Q3,21.8919,23.8889
2017 Q4,19.8421,22.9355
2018 Q1,19.7561,18.7714
2018 Q2,18.381,19.641
2018 Q3,21.0,20.2571
2018 Q4,18.175,20.125
2019 Q1,18.7,19.8286
2019 Q2,20.4054,20.6765
2019 Q3,20.0952,19.8571
2019 Q4,17.325,20.2941
2020 Q1,17.575,19.9063
2020 Q2,16.8286,14.9167
2020 Q3,15.7436,17.129
2020 Q4,17.6563,16.1212
2021 Q1,15.0,17.2
2021 Q2,14.027,19.0714
2021 Q3,15.303,15.9063
2021 Q4,13.9091,16.3929
2022 Q1,14.4839,18.1034
2022 Q2,13.2,17.0
2022 Q3,14.6111,14.7667
2022 Q4,15.9677,14.7273
2023 Q1,17.7143,16.2
2023 Q2,16.4667,15.9697
2023 Q3,18.0333,18.1154
2023 Q4,19.6296,15.4286
2024 Q1,20.6154,19.3333
2024 Q2,21.5769,17.7667
2024 Q3,22.3333,20.4783
2024 Q4,24.4167,21.0
2025 Q1,20.52,20.6154
2025 Q2,23.5417,23.12
2025 Q3,27.9,22.2083
2025 Q4,25.3158,25.1
2026 Q1,26.0,23.2917
2026 Q2,25.85,25.2778
