Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,29.561,27.9487
2017 Q2,28.907,29.35
2017 Q3,28.1111,29.5128
2017 Q4,27.4524,29.6923
2018 Q1,27.6977,29.0698
2018 Q2,27.4043,27.9767
2018 Q3,28.8478,28.0238
2018 Q4,26.5833,24.8222
2019 Q1,24.463,27.8261
2019 Q2,24.8182,28.7174
2019 Q3,23.0469,26.3542
2019 Q4,20.7746,22.0204
2020 Q1,19.4225,24.1852
2020 Q2,14.7391,15.0909
2020 Q3,16.3108,15.4182
2020 Q4,15.9324,15.6557
2021 Q1,17.8429,16.6034
2021 Q2,16.7432,16.875
2021 Q3,16.8056,17.2754
2021 Q4,14.863,18.6029
2022 Q1,15.8286,19.8657
2022 Q2,16.5455,20.9844
2022 Q3,16.3478,19.2254
2022 Q4,14.7083,16.2113
2023 Q1,17.1471,18.5362
2023 Q2,15.3377,17.9254
2023 Q3,16.775,16.9444
2023 Q4,15.3649,16.6286
2024 Q1,16.961,17.5484
2024 Q2,16.4805,17.3836
2024 Q3,17.0256,16.4737
2024 Q4,16.641,17.5694
2025 Q1,16.0649,18.4459
2025 Q2,17.1299,18.7432
2025 Q3,18.5493,16.8816
2025 Q4,15.7681,17.8529
2026 Q1,16.6471,17.9315
2026 Q2,17.2462,17.6719
