District,Disposition Quarter,Deferred,Probation,Community Corrections,Prison
09,2017 Q1,29,17,6,16
09,2017 Q2,36,20,7,18
09,2017 Q3,29,18,3,13
09,2017 Q4,33,18,6,17
09,2018 Q1,39,20,6,13
09,2018 Q2,39,13,9,19
09,2018 Q3,36,23,11,8
09,2018 Q4,34,29,1,9
09,2019 Q1,33,16,6,11
09,2019 Q2,39,27,2,17
09,2019 Q3,31,22,3,18
09,2019 Q4,28,30,9,10
09,2020 Q1,49,36,1,29
09,2020 Q2,24,31,3,11
09,2020 Q3,26,23,2,13
09,2020 Q4,23,15,4,15
09,2021 Q1,29,25,2,8
09,2021 Q2,21,12,5,17
09,2021 Q3,19,12,3,29
09,2021 Q4,28,21,1,31
09,2022 Q1,22,14,8,32
09,2022 Q2,22,21,6,20
09,2022 Q3,15,14,4,13
09,2022 Q4,18,19,6,7
09,2023 Q1,29,16,4,10
09,2023 Q2,22,19,7,18
09,2023 Q3,27,22,1,23
09,2023 Q4,27,17,3,16
09,2024 Q1,17,20,3,20
09,2024 Q2,12,14,6,14
09,2024 Q3,14,14,4,19
09,2024 Q4,23,17,5,13
09,2025 Q1,19,20,6,16
09,2025 Q2,23,15,4,8
09,2025 Q3,23,22,5,17
09,2025 Q4,14,8,2,14
09,2026 Q1,23,18,2,7
09,2026 Q2,24,28,4,9
09,2026 Q3,1,1,0,0
