Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
2017 Q1,228,109,218,555
2017 Q2,214,124,225,563
2017 Q3,220,110,204,534
2017 Q4,231,143,190,564
2018 Q1,249,116,213,578
2018 Q2,257,145,195,597
2018 Q3,300,159,202,661
2018 Q4,284,135,167,586
2019 Q1,344,179,202,725
2019 Q2,356,181,169,706
2019 Q3,324,134,148,606
2019 Q4,245,122,146,513
2020 Q1,357,151,141,649
2020 Q2,155,80,103,338
2020 Q3,187,91,114,392
2020 Q4,242,114,118,474
2021 Q1,254,116,127,497
2021 Q2,288,125,111,524
2021 Q3,344,142,137,623
2021 Q4,372,155,142,669
2022 Q1,403,142,118,663
2022 Q2,408,160,149,717
2022 Q3,406,153,140,699
2022 Q4,344,117,138,599
2023 Q1,403,142,173,718
2023 Q2,401,113,156,670
2023 Q3,348,137,170,655
2023 Q4,360,124,122,606
2024 Q1,346,129,136,611
2024 Q2,392,131,164,687
2024 Q3,381,131,146,658
2024 Q4,406,139,110,655
2025 Q1,403,146,131,680
2025 Q2,386,113,143,642
2025 Q3,387,96,135,618
2025 Q4,324,85,133,542
2026 Q1,328,79,139,546
2026 Q2,246,66,104,416
