Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,26.625,24.5
2017 Q2,24.1,15.5
2017 Q3,32.7778,22.6667
2017 Q4,20.6667,15.6667
2018 Q1,20.8,21.2
2018 Q2,25.125,21.8889
2018 Q3,18.7778,17.0
2018 Q4,22.2222,9.0
2019 Q1,16.7857,10.2
2019 Q2,17.1818,25.875
2019 Q3,20.8182,15.6667
2019 Q4,16.6667,11.8333
2020 Q1,13.7273,15.8889
2020 Q2,14.9,20.3333
2020 Q3,14.6667,11.1111
2020 Q4,15.5,14.0
2021 Q1,13.7778,12.8889
2021 Q2,14.1333,13.25
2021 Q3,18.1111,13.5
2021 Q4,14.875,15.0833
2022 Q1,18.875,17.7
2022 Q2,18.75,16.7
2022 Q3,14.4286,20.75
2022 Q4,15.0,13.3333
2023 Q1,21.2857,11.7143
2023 Q2,22.2857,9.1429
2023 Q3,29.0,17.8
2023 Q4,27.1667,14.625
2024 Q1,27.0,12.5
2024 Q2,19.375,13.7143
2024 Q3,22.8333,17.3333
2024 Q4,18.5,18.4
2025 Q1,18.6667,19.1429
2025 Q2,19.5714,18.1667
2025 Q3,21.0,19.8333
2025 Q4,19.3333,17.1429
2026 Q1,23.6,17.4286
2026 Q2,25.1667,18.0
