District,Disposition Quarter,Conviction,No Conviction,Total
11,2017 Q1,1,0,1
11,2017 Q2,2,3,5
11,2017 Q3,4,1,5
11,2017 Q4,7,1,8
11,2018 Q1,4,3,7
11,2018 Q2,2,2,4
11,2018 Q3,3,3,6
11,2018 Q4,4,1,5
11,2019 Q1,2,4,6
11,2019 Q2,5,1,6
11,2019 Q3,2,3,5
11,2019 Q4,2,1,3
11,2020 Q1,2,0,2
11,2020 Q2,4,0,4
11,2020 Q3,2,2,4
11,2020 Q4,1,2,3
11,2021 Q1,2,3,5
11,2021 Q2,3,5,8
11,2021 Q3,4,4,8
11,2021 Q4,2,3,5
11,2022 Q1,5,6,11
11,2022 Q2,1,3,4
11,2022 Q3,4,1,5
11,2022 Q4,2,1,3
11,2023 Q1,7,5,12
11,2023 Q2,2,5,7
11,2023 Q3,3,3,6
11,2023 Q4,3,1,4
11,2024 Q1,3,4,7
11,2024 Q2,3,4,7
11,2024 Q3,5,1,6
11,2024 Q4,4,1,5
11,2025 Q1,4,1,5
11,2025 Q2,3,5,8
11,2025 Q3,1,2,3
11,2025 Q4,2,0,2
