Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,469,263,732,35.92896175
2017 Q2,475,352,827,42.56348247
2017 Q3,505,328,833,39.3757503
2017 Q4,491,283,774,36.56330749
2018 Q1,617,328,945,34.70899471
2018 Q2,603,395,998,39.57915832
2018 Q3,628,378,1006,37.57455268
2018 Q4,547,363,910,39.89010989
2019 Q1,630,314,944,33.26271186
2019 Q2,591,364,955,38.11518325
2019 Q3,581,332,913,36.36363636
2019 Q4,515,373,888,42.0045045
2020 Q1,496,345,841,41.02259215
2020 Q2,223,140,363,38.56749311
2020 Q3,338,196,534,36.70411985
2020 Q4,389,216,605,35.70247934
2021 Q1,446,235,681,34.50807636
2021 Q2,417,253,670,37.76119403
2021 Q3,548,276,824,33.49514563
2021 Q4,529,261,790,33.03797468
2022 Q1,519,360,879,40.9556314
2022 Q2,532,318,850,37.41176471
2022 Q3,520,348,868,40.0921659
2022 Q4,531,332,863,38.47045191
2023 Q1,547,308,855,36.02339181
2023 Q2,526,320,846,37.8250591
2023 Q3,465,318,783,40.61302682
2023 Q4,465,270,735,36.73469388
2024 Q1,490,223,713,31.27629734
2024 Q2,435,274,709,38.64598025
2024 Q3,401,234,635,36.8503937
2024 Q4,365,218,583,37.39279588
2025 Q1,536,243,779,31.19383825
2025 Q2,588,239,827,28.89963724
2025 Q3,483,215,698,30.80229226
2025 Q4,559,247,806,30.64516129
