DispositionQuarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdemeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2018 Q3,22,68,90,24.44444444,117,378,495,23.63636364
2019 Q2,26,62,88,29.54545455,128,398,526,24.33460076
2020 Q4,11,38,49,22.44897959,67,247,314,21.33757962
2025 Q3,13,54,67,19.40298507,123,380,503,24.45328032
2021 Q3,12,52,64,18.75,60,287,347,17.29106628
2023 Q1,8,46,54,14.81481481,90,364,454,19.82378855
2017 Q3,23,60,83,27.71084337,121,365,486,24.89711934
2025 Q4,10,52,62,16.12903226,92,376,468,19.65811966
2021 Q2,12,67,79,15.18987342,52,300,352,14.77272727
2019 Q1,20,50,70,28.57142857,92,356,448,20.53571429
2022 Q2,8,79,87,9.1954023,84,338,422,19.90521327
2018 Q1,18,62,80,22.5,108,392,500,21.6
2019 Q4,17,55,72,23.61111111,104,430,534,19.47565543
2021 Q1,17,57,74,22.97297297,80,341,421,19.0023753
2019 Q3,18,72,90,20.0,106,440,546,19.41391941
2024 Q1,9,79,88,10.22727273,83,415,498,16.66666667
2018 Q2,18,45,63,28.57142857,126,340,466,27.03862661
2020 Q1,19,52,71,26.76056338,93,388,481,19.33471933
2023 Q4,11,66,77,14.28571429,79,366,445,17.75280899
2018 Q4,28,52,80,35.0,130,345,475,27.36842105
2020 Q3,11,55,66,16.66666667,80,387,467,17.13062099
2017 Q4,24,41,65,36.92307692,114,318,432,26.38888889
2024 Q3,22,59,81,27.16049383,104,396,500,20.8
2024 Q2,13,57,70,18.57142857,120,454,574,20.90592334
2017 Q1,19,55,74,25.67567568,126,350,476,26.47058824
2022 Q3,8,46,54,14.81481481,68,322,390,17.43589744
2025 Q1,14,65,79,17.72151899,132,403,535,24.6728972
2023 Q2,9,70,79,11.39240506,95,365,460,20.65217391
2017 Q2,32,58,90,35.55555556,125,337,462,27.05627706
2020 Q2,5,28,33,15.15151515,39,148,187,20.85561497
2023 Q3,15,60,75,20.0,80,378,458,17.46724891
2022 Q1,15,54,69,21.73913043,68,365,433,15.70438799
2024 Q4,24,57,81,29.62962963,128,412,540,23.7037037
2025 Q2,20,68,88,22.72727273,111,465,576,19.27083333
2021 Q4,19,55,74,25.67567568,70,332,402,17.41293532
2022 Q4,12,46,58,20.68965517,87,333,420,20.71428571
